"sites" "variable" "age" "mean" "lenghth" "se"
"133" "RIBNO" "Juniperus" 200 28.7683474003752 3 4.4462440067451
"134" "ROUGE" "Juniperus" 200 75.9785643587726 16 13.0157447288927
"135" "SAEGIST" "Juniperus" 200 51.5533716253787 65 3.96785403667635
"136" "SUMINKO" "Juniperus" 200 53.6404945838526 24 6.96239112456035
"137" "TOSACJQS" "Juniperus" 200 13.5463283 10 1.58271343703429
"138" "TSOULACC" "Juniperus" 200 47.654175 6 7.70336457043447
"139" "VOULK" "Juniperus" 200 15.6720147948218 1 0
"140" "ABBO" "Picea" 200 501.474234574326 8 68.5386856984575
"141" "AKUV" "Picea" 200 31.4444980218183 2 2.86081930236705
"142" "BACHALP" "Picea" 200 910.158223484771 61 52.45916651619
"143" "BRUN" "Picea" 200 21.3732300293882 1 0
"144" "HOLT" "Picea" 200 221.855521304187 7 38.8922008757689
"145" "KLOT" "Picea" 200 734.590660614081 8 169.123165824764
"146" "MNIVA" "Picea" 200 1656.46735699116 7 563.666061719621
"147" "PRASILSKE" "Picea" 200 2614.48533902637 18 361.326968483862
"148" "RIBNO" "Picea" 200 241.403415613417 3 32.796672524114
"149" "ROUGE" "Picea" 200 532.917861993003 16 44.2088621375812
"150" "SAEGIST" "Picea" 200 810.831185599125 65 51.7469354068153
"151" "SUMINKO" "Picea" 200 58.9456336604136 24 14.7867628577576
"152" "SUOVAL" "Picea" 200 10.9046200058065 2 1.554456377943
"153" "TOSACJQS" "Picea" 200 4.7835592 10 0.408854969489177
"154" "TSOULACC" "Picea" 200 9.35599933333333 6 0.871029479932632
"155" "VOULK" "Picea" 200 0 1 0
"156" "ABBO" "Pinus" 200 1560.86721589323 8 200.282099447866
"157" "AKUV" "Pinus" 200 1507.9034525374 2 93.011355924575
"158" "BACHALP" "Pinus" 200 290.02805974489 61 19.9446455258973
"159" "BRUN" "Pinus" 200 212.396473417045 1 0
"160" "HOLT" "Pinus" 200 1375.55878513424 7 148.903543960014
"161" "KLOT" "Pinus" 200 1772.65975119941 8 423.661726068358
"162" "MNIVA" "Pinus" 200 1432.76637517643 7 369.956157109056
"163" "PRASILSKE" "Pinus" 200 1813.25948809248 18 262.290672155978
"164" "RIBNO" "Pinus" 200 1749.27434072888 3 261.371040544537
"165" "ROUGE" "Pinus" 200 2209.12479324986 16 144.653857510966
"166" "SAEGIST" "Pinus" 200 295.236173416018 65 19.6270636214973
"167" "SUMINKO" "Pinus" 200 5216.30050128201 24 860.919752847595
"168" "SUOVAL" "Pinus" 200 566.197156994938 2 69.613969699779
"169" "TOSACJQS" "Pinus" 200 77.260071 10 2.93168184283904
"170" "TSOULACC" "Pinus" 200 136.30805 6 4.46909330981502
"171" "VOULK" "Pinus" 200 75.2256710151447 1 0
"172" "ABBO" "Poaceae" 200 63.6562688241494 8 8.044156128113
"173" "AKUV" "Poaceae" 200 8.57530790170385 2 5.71653145802175
"174" "BACHALP" "Poaceae" 200 2227.13609640121 61 85.0904846230393
"175" "BRUN" "Poaceae" 200 13.3582687683676 1 0
"176" "HOLT" "Poaceae" 200 161.093147019264 7 30.6920056068647
"177" "KLOT" "Poaceae" 200 179.663412006122 8 69.3953624457129
