"taxon" "map" "trap" "dist"
"121" "Abies" "nearestAbies_alba_EUFORGEN" "LV/LK/SE1" 592900
"122" "Abies" "nearestAbies_alba_EUFORGEN" "LV/LK/TEI1" 498451
"123" "Abies" "nearestAbies_alba_EUFORGEN" "LV/LK/RU1" 263489
"124" "Abies" "nearestAbies_alba_EUFORGEN" "RUS/PL8" 676555
"125" "Abies" "nearestAbies_alba_EUFORGEN" "RUS/PL7" 677113
"126" "Abies" "nearestAbies_alba_EUFORGEN" "RUS/PL6" 677495
"127" "Abies" "nearestAbies_alba_EUFORGEN" "RUS/PL5" 677000
"128" "Abies" "nearestAbies_alba_EUFORGEN" "RUS/PL4" 686578
"129" "Abies" "nearestAbies_alba_EUFORGEN" "RUS/PL3" 686723
"130" "Abies" "nearestAbies_alba_EUFORGEN" "RUS/PL2" 687205
"131" "Abies" "nearestAbies_alba_EUFORGEN" "RUS/PL1" 686550
"132" "Abies" "nearestAbies_alba_EUFORGEN" "RUS/TR3" 699556
"133" "Abies" "nearestAbies_alba_EUFORGEN" "RUS/TR2" 699561
"134" "Abies" "nearestAbies_alba_EUFORGEN" "RUS/TR1" 699577
"135" "Abies" "nearestAbies_alba_EUFORGEN" "RUS/CF4" 756175
"136" "Abies" "nearestAbies_alba_EUFORGEN" "RUS/CF3" 756418
"137" "Abies" "nearestAbies_alba_EUFORGEN" "RUS/CF2" 756573
"138" "Abies" "nearestAbies_alba_EUFORGEN" "RUS/CF1" 756488
"139" "Abies" "nearestAbies_alba_EUFORGEN" "RUS/ZV6" 927987
"140" "Abies" "nearestAbies_alba_EUFORGEN" "RUS/ZV5" 928185
"141" "Abies" "nearestAbies_alba_EUFORGEN" "RUS/ZV4" 928134
"142" "Abies" "nearestAbies_alba_EUFORGEN" "RUS/ZV3" 926278
"143" "Abies" "nearestAbies_alba_EUFORGEN" "RUS/ZV2" 926209
"144" "Abies" "nearestAbies_alba_EUFORGEN" "RUS/ZV1" 926260
"145" "Abies" "nearestAbies_alba_EUFORGEN" "PL/Gd10" 27671
"146" "Abies" "nearestAbies_alba_EUFORGEN" "PL/Gd7" 27644
"147" "Abies" "nearestAbies_alba_EUFORGEN" "PL/Gd8" 27818
"148" "Abies" "nearestAbies_alba_EUFORGEN" "PL/Gd9" 27734
"149" "Abies" "nearestAbies_alba_EUFORGEN" "PL/SB4" 16859
"150" "Abies" "nearestAbies_alba_EUFORGEN" "PL/SB5" 18868
"151" "Abies" "nearestAbies_alba_EUFORGEN" "PL/SB6" 19242
"152" "Abies" "nearestAbies_alba_EUFORGEN" "PL/JC2" 25335
"153" "Abies" "nearestAbies_alba_EUFORGEN" "PL/JC1" 25615
"154" "Abies" "nearestAbies_alba_EUFORGEN" "PL/JC3" 25948
"155" "Abies" "nearestAbies_alba_EUFORGEN" "PL/AFC/L3" 19986
"156" "Abies" "nearestAbies_alba_EUFORGEN" "PL/AFC/W3" 20778
"157" "Abies" "nearestAbies_alba_EUFORGEN" "PL/AFC/W2" 20778
"158" "Abies" "nearestAbies_alba_EUFORGEN" "PL/AFC/W1" 20778
"159" "Abies" "nearestAbies_alba_EUFORGEN" "PL/AFC/L2" 19791
"160" "Abies" "nearestAbies_alba_EUFORGEN" "PL/AFC/L1" 19791
"161" "Abies" "nearestAbies_alba_EUFORGEN" "PL/AFC/LP3" 132393
"162" "Abies" "nearestAbies_alba_EUFORGEN" "PL/AFC/LP1" 131567
"163" "Abies" "nearestAbies_alba_EUFORGEN" "PL/AFC/LP2" 131993
"164" "Abies" "nearestAbies_alba_EUFORGEN" "PL/AN/W1" 79489
"165" "Abies" "nearestAbies_alba_EUFORGEN" "PL/AN/W3" 80179
"166" "Abies" "nearestAbies_alba_EUFORGEN" "PL/AN/W2" 80157
"167" "Abies" "nearestAbies_alba_EUFORGEN" "PL/BN/B1" 144961
"168" "Abies" "nearestAbies_alba_EUFORGEN" "PL/BN/B2" 143220
"169" "Abies" "nearestAbies_alba_EUFORGEN" "PL/BN/B3" 141620
"170" "Abies" "nearestAbies_alba_EUFORGEN" "RUS/TU3" 945763
"171" "Abies" "nearestAbies_alba_EUFORGEN" "RUS/TU2" 945657
"172" "Abies" "nearestAbies_alba_EUFORGEN" "RUS/TU1" 953649
"173" "Abies" "nearestAbies_alba_EUFORGEN" "RUS/KP4" 1010131
"174" "Abies" "nearestAbies_alba_EUFORGEN" "RUS/KP3" 1012000
"175" "Abies" "nearestAbies_alba_EUFORGEN" "RUS/KP2" 1008192
"176" "Abies" "nearestAbies_alba_EUFORGEN" "RUS/KP1" 1011201
"177" "Abies" "nearestAbies_alba_EUFORGEN" "UK/HP/CC10" 548851
"178" "Abies" "nearestAbies_alba_EUFORGEN" "UK/HP/CC9" 548851
"179" "Abies" "nearestAbies_alba_EUFORGEN" "UK/HP/CC8" 548809
